,id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
955,956,tt9419884,2022-06-25,2022-06-25,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the mul...",Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/,movie,6.9,126.0,2022,"Action, Adventure, Fantasy, Horror, Sci-Fi",430245,2022-05-02,Sam Raimi
956,957,tt11804152,2022-06-26,2022-06-26,"A woman is left handcuffed to her dead husband as part of a sick revenge plot. Unable to unshackle, she has to survive as two killers arrive to finish her off.",Till Death,https://www.imdb.com/title/tt11804152/,movie,5.8,88.0,2021,Thriller,23298,2021-07-02,S.K. Dale
957,958,tt5834426,2022-06-27,2022-06-27,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,Moonfall,https://www.imdb.com/title/tt5834426/,movie,5.1,130.0,2022,"Action, Adventure, Sci-Fi",85338,2022-02-02,Roland Emmerich
958,959,tt0055058,2022-07-06,2022-07-06,"Dr.Decker comes back from Africa after a year, presumed dead. During that year, he came across a way of growing plants and animals to an enormous size. He brings back a baby chimpanzee to test out his theory. As he has many enemie...",Konga,https://www.imdb.com/title/tt0055058/,movie,4.5,90.0,1961,"Horror, Sci-Fi, Thriller",1925,1961-03-22,John Lemont
959,960,tt11245972,2022-07-15,2022-07-15,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town&apos;s deadly past.",Scream,https://www.imdb.com/title/tt11245972/,movie,6.3,114.0,2022,"Horror, Mystery, Thriller",126389,2022-01-12,"Matt Bettinelli-Olpin, Tyler Gillett"
960,961,tt11054164,2022-07-16,2022-07-16,"An orgy of blood, violence and fun in which a young couple travel to a shabby Eastern European hospital for plastic surgery. Once there things unravel.",Yummy,https://www.imdb.com/title/tt11054164/,movie,5.9,88.0,2019,"Comedy, Horror",5621,2019-12-18,Lars Damoiseaux
961,962,tt10127708,2022-07-28,2022-07-28,"Months after bloody combats leave behind thousands of dead in the trenches. Jan Lozano, Captain of the Fifth Brigade has fallen prisoner by an opponent&apos;s platoon along with a young driver while carrying out a mission that has been...",Malnazidos,https://www.imdb.com/title/tt10127708/,movie,5.8,101.0,2020,"Action, Adventure, Fantasy, Horror, Thriller, War",4512,2020-10-08,"Javier Ruiz Caldera, Alberto de Toro"
962,963,tt8178634,2022-08-05,2022-08-05,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,RRR (Rise Roar Revolt),https://www.imdb.com/title/tt8178634/,movie,7.9,187.0,2022,"Action, Adventure, Drama",141798,2022-03-24,S.S. Rajamouli
963,964,tt1649418,2022-08-07,2022-08-07,"When the CIA&apos;s most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assas...",The Gray Man,https://www.imdb.com/title/tt1649418/,movie,6.5,122.0,2022,"Action, Thriller",210617,2022-07-13,"Anthony Russo, Joe Russo"
964,965,tt1228933,2022-08-12,2022-08-12,A young girl wakes up in a casket with a head injury and no memory of her identity. She quickly realizes she was abducted by a serial killer and she must fight to survive.,Laid to Rest,https://www.imdb.com/title/tt1228933/,movie,5.2,90.0,2009,"Horror, Thriller",8550,2009-03-18,Robert Hall
965,966,tt1792799,2022-08-12,2022-08-12,"&quot;ChromeSkull&quot; is the sequel to the 2009 horror hit &quot;Laid to Rest.&quot; It brings back ChromeSkull, who barely escaped death in the first movie and is hell-bent on continuing where he left off... and forging a new path of terror and de...",Chromeskull: Laid to Rest 2,https://www.imdb.com/title/tt1792799/,movie,5.0,93.0,2011,Horror,3919,2011-08-25,Robert Hall
966,967,tt6920084,2022-08-13,2022-08-13,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",Resident Evil: Welcome to Raccoon City,https://www.imdb.com/title/tt6920084/,movie,5.2,107.0,2021,"Action, Horror, Sci-Fi",56561,2021-11-19,Johannes Roberts
967,968,tt13314558,2022-08-14,2022-08-14,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",Day Shift,https://www.imdb.com/title/tt13314558/,movie,6.1,113.0,2022,"Action, Comedy, Fantasy, Horror, Thriller",80706,2022-08-12,J.J. Perry
968,969,tt1783714,2022-08-21,2022-08-21,"Diana will be promoted at the office and wants to celebrate it. She invites her workmates Lisi, Leo and Roque to her grandmother&apos;s house. The village looks deserted and, event hough the guys don&apos;t know it yet, it hides a big secre...",El último fin de semana,https://www.imdb.com/title/tt1783714/,movie,3.0,82.0,2011,Horror,201,2011-09-10,Norberto Ramos del Val
969,970,tt2260760,2022-08-21,2022-08-21,"Adultery, a family secret, and a serial killer.","Buenas noches, dijo la Señorita Pájaro",https://www.imdb.com/title/tt2260760/,movie,4.2,100.0,2012,"Horror, Mystery",98,2012-07-12,César del Álamo
